Customer_ID,Name,City,State,Region,Email,Subscription_Type,Service_Tier,Monthly_Bill,Monthly_Revenue,Bill_Category,Payment_Status,Payment_Risk_Score,Payment_Days_Overdue,Customer_Tenure_Years,Join_Date,Contract_Renewal_Risk,Auto_Pay_Enabled,Paperless_Billing,Total_Tickets,Avg_Resolution_Time,Critical_Escalations,Avg_Satisfaction,FCR_Rate,Avg_Signal_Strength,Service_Health_Score,Churn_Risk,Calculated_Churn_Risk,Customer_Lifetime_Value,LTV_Index,Loyalty_Points,Loyalty_Index,Number_Of_Devices,Device_Adoption_Score,Age_Group,Employment_Status,Revenue_Health,Customer_Segment
3008,Frederick Lopez,Kimberlyport,OKLAHOMA,Northwest,harrisjesse@example.net,America'S Top 250,Basic,159.93,1919.16,High,Overdue,2,1,2.1409993155373033,2024-01-21,Stable,True,True,1.0,6.0,0.0,2.7,0.0,-31.0,78,High,Low,3277.93,19,6631,25,5,62,26-35,Student,Optimal,Standard
11668,Brandon Bennett,Kayleemouth,HAWAII,West,sandovalkatherine@example.com,America'S Top 200,Basic,220.66,2647.92,High,Overdue,2,1,0.5448323066392882,2025-08-26,At Risk,True,True,1.0,7.0,1.0,2.6,1.0,-85.0,77,High,Low,7214.72,46,15002,22,1,12,65+,Student,Premium,Standard
10364,Jeffery Sanders,Gallowaychester,ARIZONA,Southwest,scottdyer@example.net,America'S Top 500,Vip,144.34,1732.08,Medium,Overdue,2,1,0.9801505817932923,2025-03-20,Stable,True,True,3.0,46.333333333333336,1.0,1.8333333333333333,0.3333333333333333,-82.0,65,Low,Medium,6778.55,43,14386,25,2,25,46-55,Employed,Optimal,Standard
5082,Veronica Richardson,East Leonborough,INDIANA,Northeast,sabrina95@example.net,America'S Top 250,Standard,143.52,1722.2400000000002,Medium,Disputed,50,1,3.353867214236824,2022-11-04,Stable,False,False,2.0,37.0,1.0,3.4000000000000004,0.5,-90.0,81,Low,Low,12655.81,83,16147,46,4,50,18-25,Employed,Optimal,VIP_Advocates
6825,Maxwell Reed,Lake Jason,MAINE,Midwest,brownapril@example.net,America'S Top 250,Basic,97.42,1169.04,Medium,Disputed,50,1,4.525667351129363,2021-09-02,Stable,False,True,2.0,36.5,2.0,2.05,0.0,-70.0012356979405,70,Medium,Low,6238.72,39,13319,52,1,12,26-35,Retired,Undermonetized,Standard
7410,Robert Herrera,Kathleenside,MONTANA,Midwest,matthew23@example.net,Sling Orange,Premium,143.48,1721.7599999999998,Medium,Pending,30,1,0.013689253935660506,2026-03-08,Stable,False,False,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,2628.86,14,46692,56,3,37,26-35,Retired,Optimal,Standard
8825,Kristen Rogers,Tylerborough,TENNESSEE,Southwest,amanda16@example.org,America'S Top 250,Standard,202.01,2424.12,High,Disputed,50,1,0.5448323066392882,2025-08-26,Stable,False,False,1.0,57.0,0.0,2.1,0.0,-84.0,73,Low,Low,7205.9,46,24508,33,4,50,26-35,Unemployed,Premium,Standard
9006,Tracey Caldwell Dds,East Anna,TEXAS,South,kathrynthompson@example.net,Spanish Premium,Basic,204.82,2457.84,High,Pending,30,1,3.975359342915811,2022-03-22,Stable,False,True,2.0,60.0,0.0,3.55,1.0,-73.5,82,High,Low,14005.38,93,44794,85,1,12,46-55,Retired,Premium,VIP_Advocates
8393,Amber Brown,Port Matthewland,RHODE ISLAND,Southwest,moorematthew@example.com,America'S Top 120,Standard,146.04,1752.48,Medium,Pending,30,1,2.54072553045859,2023-08-28,Stable,False,True,1.0,30.0,0.0,4.2,1.0,-54.0,90,Low,Low,12690.35,84,33899,61,1,12,26-35,Self-Employed,Optimal,VIP_Advocates
2231,Nicholas Johns,Jasonton,MASSACHUSETTS,South,amywhite@example.org,Sling Orange,Vip,167.91,2014.92,High,Paid,10,1,3.2142368240930868,2022-12-25,Stable,False,False,2.0,56.5,1.0,3.55,0.5,-49.0012356979405,82,Low,Low,6616.33,42,10368,38,3,37,65+,Student,Optimal,VIP_Advocates
2287,Regina Taylor,New Alexanderview,NEW JERSEY,Midwest,allenjason@example.com,Sling Blue,Basic,196.11,2353.32,High,Paid,10,1,2.43668720054757,2023-10-05,At Risk,False,True,0.0,0.0,0.0,0.0,0.0,0.0,60,Medium,Medium,12247.53,81,30162,55,7,87,26-35,Student,Premium,Growth_Opportunity
12363,Dr. Dylan Baldwin,Estesborough,WEST VIRGINIA,West,qschaefer@example.net,America'S Top 200,Premium,101.83,1221.96,Medium,Paid,10,1,2.3381245722108144,2023-11-10,Stable,False,True,2.0,58.0,2.0,3.9,1.0,-71.0,85,Medium,Low,6720.52,42,40315,67,4,50,26-35,Unemployed,Optimal,VIP_Advocates
12778,Susan Arroyo,Susanhaven,MASSACHUSETTS,Midwest,vincentpeter@example.com,Sling Orange,Standard,113.83,1365.96,Medium,Disputed,50,1,2.3928815879534566,2023-10-21,Stable,True,False,3.0,47.0,1.0,3.0999999999999996,0.6666666666666666,-66.66666666666667,75,Low,Low,2147.83,11,19124,42,3,37,36-45,Self-Employed,Optimal,Standard
10901,Tamara Daniel,Ashleyhaven,NEW YORK,Northwest,jennifer57@example.net,Spanish Premium,Standard,175.41,2104.92,High,Overdue,2,1,3.898699520876112,2022-04-19,Stable,False,False,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,12774.2,84,43958,83,1,12,18-25,Unemployed,Optimal,Growth_Opportunity
12445,David Marquez,Grantfurt,NEW YORK,Northwest,james23@example.org,Sling Blue,Premium,212.87,2554.44,High,Overdue,2,1,4.952772073921971,2021-03-30,Stable,True,True,2.0,47.5,0.0,1.45,0.0,-73.0,65,High,Medium,14924.57,99,36492,83,8,100,46-55,Student,Premium,Growth_Opportunity
1652,Joshua Tate,Flowersfurt,OREGON,West,ricky77@example.org,Sling Blue,Premium,169.46,2033.52,High,Paid,10,1,3.646817248459959,2022-07-20,Stable,False,False,1.0,38.0,0.0,2.8,1.0,-81.0,79,Low,Low,8803.34,57,6994,37,5,62,65+,Student,Optimal,Growth_Opportunity
1277,Lisa Barnes,Michaelhaven,HAWAII,South,kcarter@example.net,Sling Orange,Standard,73.28,879.36,Low,Pending,30,1,2.0752908966461328,2024-02-14,Stable,False,True,1.0,62.0,0.0,2.2,0.0,-76.0,74,Low,Low,2891.11,16,35490,59,6,75,18-25,Employed,Undermonetized,Standard
11400,Leslie Cox,Fitzgeraldstad,MISSISSIPPI,Southwest,leeterry@example.com,America'S Top 200,Premium,231.47,2777.64,High,Disputed,50,1,2.2587268993839835,2023-12-09,Stable,True,False,1.0,66.0,1.0,1.8,1.0,-76.0,71,Medium,Low,649.62,1,33143,57,8,100,46-55,Student,Premium,Standard
2262,Mercedes Small,Michaelfurt,SOUTH CAROLINA,South,shammond@example.net,America'S Top 200,Premium,206.92,2483.04,High,Disputed,50,1,0.0,2026-03-13,Stable,True,False,1.0,11.0,1.0,4.5,0.0,-67.0,93,Medium,Low,11330.76,74,48199,57,2,25,18-25,Retired,Premium,VIP_Advocates
5131,Diane Carpenter,Lake William,FLORIDA,West,nelsonjason@example.com,America'S Top 200,Premium,103.18,1238.16,Medium,Overdue,2,1,2.6091718001368926,2023-08-03,Stable,False,True,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,2734.08,15,14301,38,3,37,36-45,Unemployed,Optimal,Standard
10811,Bryan Jones,Melissamouth,MAINE,Northeast,bauerdalton@example.net,Sling Blue,Basic,117.55,1410.6,Medium,Pending,30,1,0.3805612594113621,2025-10-25,Stable,False,True,1.0,8.0,0.0,3.0,0.0,-55.0,81,High,Low,4730.82,29,38507,49,8,100,65+,Employed,Optimal,VIP_Advocates
9307,Thomas Castro,North Larry,FLORIDA,Northeast,cooperdoris@example.com,Sling Blue,Premium,219.05,2628.6000000000004,High,Overdue,2,1,1.325119780971937,2024-11-14,Expiring Soon,True,False,2.0,54.0,2.0,2.75,0.5,-69.0,76,High,Low,10662.07,70,1917,12,7,87,46-55,Retired,Premium,Growth_Opportunity
1194,Curtis Hamilton,West Monicafort,INDIANA,West,alicia20@example.org,Sling Blue,Standard,197.59,2371.08,High,Disputed,50,1,4.971937029431896,2021-03-23,Stable,False,False,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,14361.37,95,11846,53,6,75,26-35,Student,Premium,Growth_Opportunity
11334,Kenneth Bentley,Ashleychester,PENNSYLVANIA,West,ypearson@example.org,America'S Top 200,Premium,139.45,1673.3999999999999,Medium,Disputed,50,1,4.728268309377139,2021-06-20,Stable,True,True,1.0,39.0,1.0,3.8,0.0,-72.0,87,Medium,Low,11416.33,75,12772,53,7,87,18-25,Retired,Optimal,VIP_Advocates
5104,Jack Henderson,Francofurt,MICHIGAN,Northwest,laura77@example.org,America'S Top 200,Standard,245.51,2946.12,High,Paid,10,1,0.08487337440109514,2026-02-10,Stable,False,True,2.0,38.5,1.0,2.9,1.0,-77.5,77,Low,Low,4976.31,30,26124,32,3,37,36-45,Retired,Premium,Standard
11235,Ashley Porter,Lake Amandachester,NEW MEXICO,Northeast,barbara39@example.net,America'S Top 200,Basic,148.55,1782.6000000000001,Medium,Pending,30,1,1.3278576317590691,2024-11-13,Stable,False,True,1.0,46.0,1.0,1.7,1.0,-38.0,70,Low,Low,13277.06,88,3005,14,3,37,18-25,Self-Employed,Optimal,Growth_Opportunity
