Customer_ID,Name,Email,Phone,Address,City,State,Zip_Code,Subscription_Type,Service_Tier,Monthly_Bill,Join_Date,Payment_Status,Region,Contract_End,Age_Group,Employment_Status,Customer_Lifetime_Value,Loyalty_Points,Churn_Risk,Number_Of_Devices,Has_Outdoor_Dish,Auto_Pay_Enabled,Paperless_Billing,Last_Payment_Date
3008,Frederick Lopez,harrisjesse@example.net,596-615-0884x8924,"57538 Angela Wells, Collinsburgh, ME 87776",Kimberlyport,OKLAHOMA,7645,America'S Top 250,Basic,159.93,2024-01-21,Overdue,Northwest,2026-09-23,26-35,Student,3277.93,6631,High,5,False,True,True,2026-03-12
11668,Brandon Bennett,sandovalkatherine@example.com,265.227.5846,"092 Erik Points, Lake Debramouth, MD 02292",Kayleemouth,HAWAII,68401,America'S Top 200,Basic,220.66,2025-08-26,Overdue,West,2026-04-16,65+,Student,7214.72,15002,High,1,True,True,True,2026-03-12
10364,Jeffery Sanders,scottdyer@example.net,+1-331-845-4282x4835,"3513 Moore Unions, East Brandon, MN 21241",Gallowaychester,ARIZONA,41789,America'S Top 500,Vip,144.34,2025-03-20,Overdue,Southwest,2027-03-12,46-55,Employed,6778.55,14386,Low,2,False,True,True,2026-03-12
5082,Veronica Richardson,sabrina95@example.net,229.403.9207x0622,"USCGC Fuentes, FPO AP 53915",East Leonborough,INDIANA,21852,America'S Top 250,Standard,143.52,2022-11-04,Disputed,Northeast,2026-08-01,18-25,Employed,12655.81,16147,Low,4,False,False,False,2026-03-12
6825,Maxwell Reed,brownapril@example.net,001-596-217-4996x345,"6414 Sharon Parks Apt. 571, Smithtown, WA 92520",Lake Jason,MAINE,28610,America'S Top 250,Basic,97.42,2021-09-02,Disputed,Midwest,2027-04-25,26-35,Retired,6238.72,13319,Medium,1,True,False,True,2026-03-12
7410,Robert Herrera,matthew23@example.net,001-280-431-6761x30810,"811 Scott Mills, Juanfort, MN 68002",Kathleenside,MONTANA,75470,Sling Orange,Premium,143.48,2026-03-08,Pending,Midwest,2027-01-31,26-35,Retired,2628.86,46692,High,3,False,False,False,2026-03-12
8825,Kristen Rogers,amanda16@example.org,001-887-807-9168x951,"26092 Jennifer Mall, East Erinfort, NH 07002",Tylerborough,TENNESSEE,53870,America'S Top 250,Standard,202.01,2025-08-26,Disputed,Southwest,2027-02-03,26-35,Unemployed,7205.9,24508,Low,4,True,False,False,2026-03-12
9006,Tracey Caldwell Dds,kathrynthompson@example.net,(872)484-0907x8978,"8901 Lynn Spur Apt. 661, Carolville, IN 48845",East Anna,TEXAS,81616,Spanish Premium,Basic,204.82,2022-03-22,Pending,South,2026-12-02,46-55,Retired,14005.38,44794,High,1,False,False,True,2026-03-12
8393,Amber Brown,moorematthew@example.com,867-401-4231x484,"85921 Nicole Haven, New Paulmouth, AK 59579",Port Matthewland,RHODE ISLAND,59475,America'S Top 120,Standard,146.04,2023-08-28,Pending,Southwest,2027-04-04,26-35,Self-Employed,12690.35,33899,Low,1,False,False,True,2026-03-12
2231,Nicholas Johns,amywhite@example.org,275-754-5059,"635 Jacob Square Apt. 238, Kellymouth, MH 10551",Jasonton,MASSACHUSETTS,18223,Sling Orange,Vip,167.91,2022-12-25,Paid,South,2026-11-16,65+,Student,6616.33,10368,Low,3,True,False,False,2026-03-12
2287,Regina Taylor,allenjason@example.com,(432)910-8981,"4608 Ramirez Ways, Port Jean, CT 58904",New Alexanderview,NEW JERSEY,15815,Sling Blue,Basic,196.11,2023-10-05,Paid,Midwest,2026-05-14,26-35,Student,12247.53,30162,Medium,7,True,False,True,2026-03-12
12363,Dr. Dylan Baldwin,qschaefer@example.net,+1-290-912-6856x4471,"533 Norris Pines, Richardton, WY 98793",Estesborough,WEST VIRGINIA,39876,America'S Top 200,Premium,101.83,2023-11-10,Paid,West,2027-10-11,26-35,Unemployed,6720.52,40315,Medium,4,True,False,True,2026-03-12
12778,Susan Arroyo,vincentpeter@example.com,+1-848-515-0253x98814,"PSC 4676, Box 0727, APO AP 83705",Susanhaven,MASSACHUSETTS,35903,Sling Orange,Standard,113.83,2023-10-21,Disputed,Midwest,2027-08-17,36-45,Self-Employed,2147.83,19124,Low,3,False,True,False,2026-03-12
10901,Tamara Daniel,jennifer57@example.net,603-476-0488x890,"763 Paul Via Apt. 268, Parkshaven, NM 59243",Ashleyhaven,NEW YORK,48635,Spanish Premium,Standard,175.41,2022-04-19,Overdue,Northwest,2027-07-08,18-25,Unemployed,12774.2,43958,High,1,False,False,False,2026-03-12
12445,David Marquez,james23@example.org,+1-308-515-7439,"2281 Hopkins Vista, West Douglasshire, NH 99526",Grantfurt,NEW YORK,44969,Sling Blue,Premium,212.87,2021-03-30,Overdue,Northwest,2027-12-19,46-55,Student,14924.57,36492,High,8,False,True,True,2026-03-12
1652,Joshua Tate,ricky77@example.org,Unknown,"34618 James Roads Apt. 840, Wilkersonbury, NY 86824",Flowersfurt,OREGON,42459,Sling Blue,Premium,169.46,2022-07-20,Paid,West,2026-06-16,65+,Student,8803.34,6994,Low,5,True,False,False,2026-03-12
1277,Lisa Barnes,kcarter@example.net,(605)458-3923x704,"30945 Gabrielle Prairie Apt. 279, Scottview, SC 35189",Michaelhaven,HAWAII,75956,Sling Orange,Standard,73.28,2024-02-14,Pending,South,2026-12-11,18-25,Employed,2891.11,35490,Low,6,False,False,True,2026-03-12
11400,Leslie Cox,leeterry@example.com,773.219.6142,"6323 Jennifer Passage Apt. 866, Jonathanberg, FL 60857",Fitzgeraldstad,MISSISSIPPI,69314,America'S Top 200,Premium,231.47,2023-12-09,Disputed,Southwest,2026-11-09,46-55,Student,649.62,33143,Medium,8,True,True,False,2026-03-12
2262,Mercedes Small,shammond@example.net,001-506-616-3235x4942,"4730 Cox Roads Apt. 381, Anamouth, SD 79121",Michaelfurt,SOUTH CAROLINA,95106,America'S Top 200,Premium,206.92,2026-03-13,Disputed,South,2027-01-26,18-25,Retired,11330.76,48199,Medium,2,False,True,False,2026-03-12
5131,Diane Carpenter,nelsonjason@example.com,325-919-3154,"Unit 8285 Box 3393, DPO AA 97916",Lake William,FLORIDA,14517,America'S Top 200,Premium,103.18,2023-08-03,Overdue,West,2027-04-24,36-45,Unemployed,2734.08,14301,High,3,False,False,True,2026-03-12
10811,Bryan Jones,bauerdalton@example.net,001-225-542-0691x463,"692 Sarah Plaza, Christopherburgh, IA 25801",Melissamouth,MAINE,13466,Sling Blue,Basic,117.55,2025-10-25,Pending,Northeast,2026-09-27,65+,Employed,4730.82,38507,High,8,True,False,True,2026-03-12
9307,Thomas Castro,cooperdoris@example.com,5993459202,"652 Mack Crescent Apt. 056, Jamesburgh, HI 61846",North Larry,FLORIDA,3964,Sling Blue,Premium,219.05,2024-11-14,Overdue,Northeast,2026-03-15,46-55,Retired,10662.07,1917,High,7,False,True,False,2026-03-12
1194,Curtis Hamilton,alicia20@example.org,516.976.8958,"50267 Chandler Manor, Matthewfort, AR 02553",West Monicafort,INDIANA,61218,Sling Blue,Standard,197.59,2021-03-23,Disputed,West,2027-10-29,26-35,Student,14361.37,11846,High,6,False,False,False,2026-03-12
11334,Kenneth Bentley,ypearson@example.org,372-416-0571,"Unit 9988 Box 6903, DPO AP 10499",Ashleychester,PENNSYLVANIA,24217,America'S Top 200,Premium,139.45,2021-06-20,Disputed,West,2027-10-04,18-25,Retired,11416.33,12772,Medium,7,True,True,True,2026-03-12
5104,Jack Henderson,laura77@example.org,(250)332-6410x014,"6318 Lee Heights Suite 980, Port Alexanderbury, NH 27477",Francofurt,MICHIGAN,29744,America'S Top 200,Standard,245.51,2026-02-10,Paid,Northwest,2026-10-29,36-45,Retired,4976.31,26124,Low,3,True,False,True,2026-03-12
11235,Ashley Porter,barbara39@example.net,001-303-532-5471x43167,"Unit 6703 Box 2789, DPO AE 85951",Lake Amandachester,NEW MEXICO,31026,America'S Top 200,Basic,148.55,2024-11-13,Pending,Northeast,2027-08-12,18-25,Self-Employed,13277.06,3005,Low,3,True,False,True,2026-03-12
5887,Megan Lopez,joshuaanderson@example.org,+1-509-500-9545,"USS Larson, FPO AP 93124",Tylermouth,NEW MEXICO,64042,America'S Top 250,Basic,142.07,2024-04-11,Overdue,Northeast,2026-08-12,46-55,Employed,14916.45,28198,High,1,False,True,True,2026-03-12
8579,Jennifer Mata,kaylahall@example.net,663.582.3247x97098,"50393 Olson Drive, North Richardport, MH 51668",Kaitlynport,OREGON,76495,Sling Blue,Premium,148.55,2021-07-29,Disputed,Midwest,2026-05-01,65+,Unemployed,5427.56,37032,Low,7,True,True,False,2026-03-12
4890,Jennifer Robinson,emcneil@example.net,657-594-1217,"87349 Ronald Port Apt. 822, West Mitchellfurt, TX 66755",South Nicole,NEVADA,13958,America'S Top 200,Premium,159.97,2022-10-01,Pending,Northeast,2026-12-01,65+,Self-Employed,4713.24,18564,High,5,False,False,False,2026-03-12
3639,Lisa Hayes,amy11@example.org,614-884-8171x61289,"USCGC Watson, FPO AE 58928",West Christopher,WYOMING,99787,Sling Orange,Vip,138.12,2022-10-04,Overdue,West,2028-01-26,18-25,Self-Employed,6612.26,36696,Medium,7,False,True,False,2026-03-12
5083,Luke Frey,alisondouglas@example.net,001-562-991-6187x45269,"6875 Ewing Prairie Suite 559, Markmouth, VT 16250",Perryborough,NORTH DAKOTA,16613,Spanish Premium,Vip,117.32,2023-03-19,Overdue,Midwest,2026-12-26,56-65,Student,7381.69,30968,Low,6,False,True,False,2026-03-12
7935,Chelsea Barnes,patricia15@example.net,001-878-671-5333x4146,"USNS Blankenship, FPO AP 79419",East Elizabeth,ALASKA,19899,Sling Orange,Basic,92.62,2023-11-15,Disputed,West,2028-02-21,36-45,Self-Employed,5947.92,2216,Medium,8,False,True,True,2026-03-12
9151,Robert Garcia,lewismegan@example.net,591-412-1600,"85803 Alexandria Wall Suite 851, Rickymouth, CA 04187",West Sarastad,NEBRASKA,46255,Sling Blue,Standard,64.43,2025-05-25,Paid,South,2027-10-26,26-35,Unemployed,9320.53,24237,Medium,5,False,False,False,2026-03-12
5827,Tara Hale,hallkaren@example.net,885-964-9003x892,"9116 Timothy Lights Suite 485, Johnchester, HI 73011",Dennisville,MICHIGAN,47938,Sling Orange,Standard,174.09,2023-05-28,Overdue,West,2026-09-01,65+,Unemployed,507.39,41810,Medium,8,True,True,True,2026-03-12
8243,Michael Cooper,mackbenjamin@example.net,678-831-8260,"6189 Maria Ways, New Pamela, TX 02504",Elizabethburgh,TEXAS,70731,Sling Orange,Basic,76.75,2026-03-12,Pending,Southwest,2027-07-05,18-25,Unemployed,12848.33,43402,Medium,2,True,False,False,2026-03-12
10608,Jeremiah Harvey,hawkinstimothy@example.net,365.210.6627x26780,"4205 Heather Bypass, New Kenneth, ND 49226",Laramouth,MISSOURI,49563,America'S Top 120,Premium,180.99,2025-08-06,Overdue,Southwest,2026-08-16,26-35,Student,12791.16,1356,High,5,False,False,True,2026-03-12
3930,Willie Gonzalez,melissataylor@example.com,001-689-838-1076x340,"5705 Linda Land Suite 743, New Williammouth, TX 61093",Ericbury,COLORADO,23195,Sling Blue,Basic,189.85,2021-08-26,Disputed,Midwest,2027-12-02,56-65,Retired,2544.72,31096,Medium,4,False,False,False,2026-03-12
6115,Christina Hanson,kwhite@example.org,902-409-0678x8249,"3181 Rivera Orchard Suite 025, North Anthony, CO 56266",North Matthewfort,ALABAMA,80891,Sling Orange,Vip,169.24,2024-04-04,Pending,Southwest,2028-02-10,36-45,Employed,10967.47,13715,Low,1,False,False,True,2026-03-12
4567,Kevin Dixon,jameswhite@example.net,+1-640-736-1975x294,"201 Freeman Hills Apt. 551, New Ashley, ID 38581",Austinville,TENNESSEE,73333,America'S Top 120,Premium,169.98,2021-03-21,Disputed,West,2027-06-26,56-65,Student,2994.32,38514,Medium,6,True,False,True,2026-03-12
12051,Jennifer Donaldson,katherine03@example.org,254.294.8817,"653 Rebecca Mountains Suite 959, Stanleychester, MI 63612",Hinesfurt,MARYLAND,63938,Sling Orange,Vip,148.55,2021-06-21,Paid,Midwest,2027-02-17,26-35,Unemployed,14913.01,18355,Low,2,False,True,False,2026-03-12
5824,Eileen Rodriguez,wcross@example.org,(409)445-3250,"2313 Nicole Passage Apt. 786, Michaelville, LA 36255",South Larryborough,ARIZONA,77121,Spanish Premium,Basic,174.41,2022-08-27,Overdue,Midwest,2026-12-07,18-25,Student,13025.93,48574,High,2,False,False,False,2026-03-12
2406,Kristen Soto,ibradshaw@example.org,(686)805-4914,"17690 April Forges Suite 804, Mccallland, PR 57476",Natalieland,IOWA,73722,Sling Blue,Basic,210.38,2022-09-25,Overdue,Northwest,2027-07-21,65+,Student,2517.34,48460,High,4,False,False,False,2026-03-12
8119,Daniel Garcia,erica42@example.com,7792850945,"93674 Gomez Islands, Lorettaview, WI 78048",Jeffreyhaven,MICHIGAN,44721,America'S Top 120,Premium,135.48,2026-03-13,Pending,Southwest,2028-02-11,26-35,Self-Employed,11424.87,42579,Medium,3,False,True,False,2026-03-12
3833,Patricia Scott,floresjoshua@example.com,(525)569-9425x63512,"15648 Moreno Skyway Apt. 036, East Jaime, OK 32695",Lake Jonathanhaven,NEW JERSEY,28263,America'S Top 500,Standard,167.45,2021-04-24,Disputed,Midwest,2026-04-03,18-25,Student,10761.64,17607,High,5,False,True,True,2026-03-12
1577,James Jones,hollandmalik@example.org,945.310.7844x1739,"3693 Bethany Lodge, North Yolandastad, NE 90960",New Stephaniemouth,COLORADO,83650,America'S Top 500,Premium,178.2,2023-12-23,Paid,Northwest,2027-07-17,18-25,Self-Employed,10486.16,24695,High,5,False,True,False,2026-03-12
1518,Shawn Lawson,hendersonnicole@example.com,260.970.1409x35268,"996 Sarah Green Suite 093, Boydfort, ID 16912",Emilyfort,ILLINOIS,95487,Spanish Premium,Standard,52.65,2024-02-03,Overdue,Midwest,2026-11-02,56-65,Student,1956.12,18176,Low,3,False,False,False,2026-03-12
9495,Paul Cline,schaeferbenjamin@example.net,+1-797-977-3255,"Unit 1288 Box 5086, DPO AA 74142",West Michaelstad,MINNESOTA,17303,America'S Top 120,Standard,197.78,2025-09-01,Overdue,South,2026-06-09,65+,Employed,8520.25,19871,Medium,8,False,True,True,2026-03-12
7734,Mrs. Lisa Patterson,barnestiffany@example.org,001-265-956-1818x34650,"71046 Calvin Coves, East Ashley, WA 73496",West Bobbystad,GEORGIA,48751,Sling Orange,Vip,120.4,2021-12-31,Disputed,Northeast,2026-10-14,36-45,Employed,2855.61,38584,Low,4,False,True,True,2026-03-12
3167,Wesley Leach,kevinadams@example.org,642.525.4035x1696,"843 Travis Harbors Apt. 214, Lake Richard, MT 02927",Jonesview,TEXAS,13198,America'S Top 250,Standard,141.13,2023-02-19,Overdue,Midwest,2026-04-21,26-35,Self-Employed,5030.03,26708,Low,1,False,False,True,2026-03-12
11264,Stephanie Hernandez,claudiaortiz@example.org,+1-841-397-9493,"64268 William Union, Carlyborough, NM 48578",Russellshire,NEVADA,62249,America'S Top 500,Premium,80.34,2021-08-07,Disputed,West,2026-07-11,65+,Employed,2490.04,3392,Medium,1,False,False,True,2026-03-12
4452,Luis Lane,brittanycarpenter@example.com,(784)928-8100x7000,"PSC 4689, Box 6814, APO AA 34412",Cervantesfort,OKLAHOMA,93836,America'S Top 120,Standard,126.41,2022-02-04,Paid,Northwest,2027-03-14,36-45,Employed,14654.44,153,High,7,False,False,True,2026-03-12
9598,Mrs. Paige Torres,lori76@example.net,410.622.5148,"70820 Rosales Canyon Suite 775, North Marcobury, NV 09308",South Shelly,COLORADO,91924,Sling Blue,Premium,112.88,2025-10-09,Paid,West,2026-10-27,36-45,Unemployed,10510.23,9820,Medium,7,False,False,True,2026-03-12
